x,y,u,v,p
0.099153436,0.119337121,0.9771624,0.000358115,9.04923256
0.095972159,0.132267531,0.909204495,0.000396367,9.057453029
0.115268428,0.185972436,0.264620799,2.89141E-05,8.991912832
0.124944615,0.193942928,0.119199743,1.72289E-05,8.959943865
0.125874126,0.19650358,0.069729032,4.44378E-06,8.956676527
0.11894653,0.190870222,0.176800884,-3.33149E-05,8.980349768
0.131834047,0.19397484,0.118623091,-1.12717E-05,8.93558788
0.132867133,0.196487315,0.070050881,-6.76815E-06,8.932131774
0.108201042,0.08672756,0.997104428,-3.19114E-05,9.016866942
0.113780871,0.076185506,0.956974724,3.80884E-06,8.995581749
0.147758617,0.005955044,0.11728411,-5.31027E-06,8.880903044
0.153846154,0.00344316,0.068706922,8.69905E-06,8.859573619
0.139194103,0.009391003,0.181582684,-6.21528E-05,8.911282461
0.104502565,0.044642875,0.703215425,-0.000163046,9.029395677
0.111755817,0.03511549,0.585020378,1.30564E-05,9.006039795
0.110719896,0.056522219,0.822405008,-0.000414298,9.010080471
0.121393168,0.020412951,0.371446491,-5.45357E-06,8.973616735
0.119423345,0.030519937,0.523950403,5.97369E-06,8.977112648
0.128836857,0.015326712,0.287742474,0.000177364,8.945440936
0.136025777,0.014103107,0.26592829,5.98658E-05,8.922821499
0.146684178,0.009153085,0.177251881,-2.28754E-05,8.885055563
0.117373478,0.065084196,0.890311605,-0.000350465,8.98400847
0.117894231,0.095627347,1.012224255,0.000201245,8.98325086
0.115926266,0.107385684,1.00881235,0.000285973,8.98917822
0.111884145,0.11838772,0.980071296,0.000177343,9.005382038
0.098685136,0.169648421,0.521552087,-0.000151599,9.045202654
0.10501272,0.17531843,0.438265398,0.000146277,9.029096197
0.110741399,0.180777328,0.352096142,0.000343451,9.010558417
0.098894418,0.155502005,0.700586711,-5.92042E-05,9.051448309
0.103492669,0.140956937,0.844868113,0.000449171,9.033632557
0.107847652,0.129163347,0.928185455,0.000215533,9.017974875
0.117951622,0.180235648,0.36119356,6.75452E-07,8.981563647
